FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
301,"逃","escape",2019-10-31 12:56:41,2019-11-26,5,2,8
302,"辺","environs",2019-10-09 14:28:20,2019-11-26,6,0,5
303,"巡","patrol",2019-10-11 02:38:37,2019-11-27,6,0,5
304,"車","car",2019-10-08 14:43:59,2019-11-18,5,0,4
305,"連","take along",2019-10-30 03:23:02,2019-12-28,6,0,5
306,"軌","rut",2019-11-01 03:20:10,2019-11-24,5,3,7
307,"輸","transport",2019-11-05 03:05:43,2019-11-20,4,3,10
308,"喩","metaphor",2019-11-01 03:23:27,2019-11-28,5,2,7
309,"前","in front",2019-10-08 17:13:56,2019-11-29,6,0,5
310,"煎","roast",2019-10-08 17:12:44,2019-11-23,6,3,6
311,"各","each",2019-10-08 17:10:51,2019-12-02,6,0,5
312,"格","status",2019-10-30 03:23:02,2019-11-28,5,4,8
313,"賂","graft",2019-11-04 02:57:55,2019-11-19,4,4,8
314,"略","abbreviation",2019-11-01 03:22:11,2019-11-25,5,2,8
315,"客","guest",2019-11-01 03:21:01,2019-11-24,5,1,7
316,"額","forehead",2019-10-31 03:07:10,2019-11-25,5,4,9
317,"夏","summer",2019-10-11 02:37:33,2019-11-26,6,1,5
318,"処","dispose",2019-11-06 02:33:01,2019-11-21,4,6,12
319,"条","twig",2019-10-31 03:07:10,2019-11-27,5,1,8
320,"落","fall",2019-10-09 14:26:47,2019-12-08,6,1,5
321,"冗","superfluous",2019-10-27 12:15:45,2019-11-23,5,3,8
322,"冥","Hades",2019-10-30 03:30:20,2019-11-14,4,5,9
323,"軍","army",2019-10-09 14:12:15,2019-12-01,6,0,5
324,"輝","radiance",2019-11-03 03:26:53,2019-12-18,6,4,7
325,"運","carry",2019-10-27 12:11:19,2019-11-26,5,5,7
326,"冠","crown",2019-11-04 02:55:33,2019-12-19,6,2,6
327,"夢","dream",2019-10-31 03:10:19,2019-11-29,5,4,9
328,"坑","pit",2019-10-08 17:03:49,2019-11-30,6,3,5
329,"高","tall",2019-11-01 03:21:01,2019-12-31,6,0,5
330,"享","receive",2019-10-12 13:16:33,2019-12-07,6,2,5
331,"塾","cram school",2019-11-04 02:59:50,2019-12-26,6,1,5
332,"熟","mellow",2019-10-09 14:08:26,2019-12-02,6,0,5
333,"亭","pavilion",2019-10-22 02:29:01,2019-11-13,5,2,6
334,"京","capital",2019-11-02 05:46:27,2019-11-25,5,2,8
335,"涼","refreshing",2019-10-08 17:22:20,2019-11-29,6,1,5
336,"景","scenery",2019-10-08 17:00:26,2019-11-25,6,0,5
337,"鯨","whale",2019-10-08 17:10:51,2019-12-06,6,0,5
338,"舎","cottage",2019-10-09 14:18:03,2019-11-28,6,0,5
339,"周","circumference",2019-10-08 17:06:35,2019-12-08,6,0,5
340,"週","week",2019-10-09 14:12:15,2019-12-06,6,1,6
341,"士","gentleman",2019-10-08 14:41:18,2019-11-16,5,1,4
342,"吉","good luck",2019-10-08 16:44:12,2019-12-07,6,0,5
343,"壮","robust",2019-11-02 05:49:43,2019-12-02,5,3,8
344,"荘","villa",2019-11-01 03:35:13,2019-11-24,5,4,8
345,"売","sell",2019-10-09 14:01:04,2019-11-27,6,1,5
346,"学","study",2019-11-06 02:29:06,2019-11-12,3,0,2
347,"覚","memorize",2019-11-06 02:32:19,2019-11-12,3,0,2
348,"栄","flourish",2019-11-04 02:52:03,2019-11-11,3,0,2
349,"書","write",2019-11-04 02:52:03,2019-11-13,3,0,2
350,"津","haven",2019-11-05 02:36:25,2019-11-13,3,0,2
351,"牧","breed",2019-11-06 02:32:19,2019-11-12,3,0,2
352,"攻","aggression",2019-11-05 02:36:25,2019-11-13,3,0,2
353,"敗","failure",2019-11-05 02:36:25,2019-11-12,3,0,2
354,"枚","a sheet of",2019-11-04 02:57:55,2019-11-10,3,0,2
355,"故","happenstance",2019-11-04 02:52:03,2019-11-11,3,0,2
356,"敬","awe",2019-11-04 02:50:32,2019-11-13,3,1,2
357,"言","say",2019-11-04 02:55:33,2019-11-11,3,0,2
358,"警","admonish",2019-11-06 02:33:01,2019-11-15,3,1,2
359,"計","plot",2019-11-06 02:30:37,2019-11-13,3,0,2
360,"詮","elucidate",2019-11-06 02:33:01,2019-11-15,3,0,2
361,"獄","prison",2019-11-06 02:26:23,2019-11-12,3,1,2
362,"訂","revise",2019-11-06 02:30:37,2019-11-15,3,0,2
363,"訃","obituary",2019-11-09 09:21:33,2019-11-17,3,1,3
364,"討","chastise",2019-11-04 02:50:32,2019-11-11,3,0,2
365,"訓","instruction",2019-11-06 02:32:19,2019-11-12,3,0,2
366,"詔","imperial edict",2019-11-06 02:32:19,2019-11-15,3,0,2
367,"詰","packed",2019-11-09 09:33:58,2019-11-24,4,0,3
368,"話","tale",2019-11-04 02:55:33,2019-11-10,3,0,2
